FID;Shape;Nama Kelom;Nama Prope;Alamat Len;Kategori P;Status Pro;Harga Prop;Luas Bangu;Luas Tanah;Jenis Sert;NTL2025;KEP2025;EKON2025;NTL2030;KEP2030;EKON2030;NTL2035;KEP2035;EKON2035;Dekat Exit Tol;LatLong;Bandar Udara 2025;Kebun/Perkebunan 2025;Permukiman Perdesaan 2025;Permukiman Perkotaan 2025;Permukiman Semi Desa 2025;Rumput/Tanah Kosong 2025;Sawah irigasi 2025;Tegalan/Ladang 2025;Bandar Udara 2030;Kebun/Perkebunan 2030;Permukiman Perdesaan 2030;Permukiman Perkotaan 2030;Permukiman Semi Desa 2030;Rumput/Tanah Kosong 2030;Sawah irigasi 2030;Tegalan/Ladang 2030;Bandar Udara 2035;Kebun/Perkebunan 2035;Permukiman Perdesaan 2035;Permukiman Perkotaan 2035;Permukiman Semi Desa 2035;Rumput/Tanah Kosong 2035;Sawah irigasi 2035;Tegalan/Ladang 2035
10;Point;Propix;Ruko Bale Mulia;Jl. Kebon Agung, Duwet, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55291;Ruko;Jual;3750000000;160;100;Sertifikat Hak Guna Bangunan (SHGB);Sedang;Tinggi;Tinggi;Sedang;Tinggi;Tinggi;Sedang;Tinggi;Tinggi;Tidak;-7.7378773,110.3535314;0%;0%;6%;0%;63%;0%;31%;0%;0%;0%;0%;0%;69%;0%;31%;0%;0%;0%;0%;0%;69%;0%;31%;0%
11;Point;Propix;Damara Village;Jl. Prawiro Sudiyono, Sanggrahan, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285;Rumah;Jual;3793000000;146;176;Sertifikat Hak Milik (SHM);Sedang;Tinggi;Tinggi;Sedang;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.729473719974676, 110.36975861534043;0%;0%;0%;6%;72%;6%;17%;0%;0%;0%;0%;22%;56%;6%;17%;0%;0%;0%;0%;61%;39%;0%;0%;0%
12;Point;Propix;Tomoro Coffe;Jl. Seturan Raya No.C8, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;Ruko;Jual;7500000000;300;380;Sertifikat Hak Guna Bangunan (SHGB);Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.7688942,110.4100152;0%;6%;0%;89%;0%;0%;6%;0%;0%;6%;0%;89%;0%;0%;6%;0%;0%;6%;0%;94%;0%;0%;0%;0%
13;Point;Propix;Borneo Mart;Jl. Seturan Raya No.189, Ngropoh, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;Ruko;Jual;9900000000;480;200;Sertifikat Hak Milik (SHM);Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.7627051,110.4118345;0%;14%;0%;76%;5%;0%;5%;0%;0%;14%;0%;81%;0%;0%;5%;0%;0%;14%;0%;86%;0%;0%;0%;0%
14;Point;Propix;Uttara Apartemen;Apartemen Uttara, Jl. Kaliurang Km 5, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284;Apartemen;Jual;1500000000;70;70;Sertifikat Hak Milik (SHM);Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.758092549569444, 110.3814865423298;0%;0%;0%;94%;6%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%
15;Point;Propix;Altuz;Jl. Seturan Raya No.10A, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;Apartemen;Jual;600000000;27;27;Sertifikat Hak Guna Bangunan (SHGB);Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.7716919185644535, 110.4102371981543;0%;12%;0%;82%;0%;0%;6%;0%;0%;12%;0%;82%;0%;0%;6%;0%;0%;12%;0%;88%;0%;0%;0%;0%
16;Point;Propix;Green Park;Jl. Baladewa, Glendongan, Tambak Bayan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;Apartemen;Jual;900000000;49;49;PPJB;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.77435460137997, 110.41830200000001;0%;19%;0%;56%;13%;0%;13%;0%;0%;19%;0%;69%;0%;0%;13%;0%;0%;19%;0%;69%;0%;0%;13%;0%
17;Point;Propix;Barsa City;Jl. Laksda Adi Sutjipto Km. 7, Flyover, Janti, Caturtunggal, Kec. Depok, Kabupaten Sleman, Yogyakarta, Daerah Istimewa Yogyakarta 55281;Apartemen;Jual;635000000;23;23;Sertifikat Hak Milik (SHM);Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.7808518243088916, 110.41216693068078;0%;7%;0%;87%;7%;0%;0%;0%;0%;7%;0%;93%;0%;0%;0%;0%;0%;7%;0%;93%;0%;0%;0%;0%
18;Point;Propix;Perumahan Casa Grande;Jl. Casa Grande No.465, Jenengan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;Rumah;Jual;4250000000;300;300;Sertifikat Hak Milik (SHM);Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.7623829,110.4204269;0%;19%;0%;38%;33%;0%;10%;0%;0%;19%;0%;76%;5%;0%;0%;0%;0%;19%;0%;81%;0%;0%;0%;0%
19;Point;Propix;Tana Apartemen;Jl. Babarsari No.TB 17/88, Tambak Bayan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;Apartemen;Jual;375000000;29.5;29.5;Sertifikat Hak Guna Bangunan (SHGB);Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.769961392368682, 110.41649626931921;0%;18%;0%;65%;12%;0%;6%;0%;0%;18%;0%;76%;0%;0%;6%;0%;0%;18%;0%;82%;0%;0%;0%;0%
20;Point;Propix;Ruko Gejayan;Jl. Affandi No.28, Santren, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;Ruko;Jual;6000000000;250;110;Sertifikat Hak Guna Bangunan (SHGB);Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.770943516432135, 110.38998626303241;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%
21;Point;Propix;Hyarta Ecovillage;Jl. Laksda Adisucipto km 8,5, Nayan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55282;Rumah;Jual;3800000000;125;157;Sertifikat Hak Guna Bangunan (SHGB);Sedang;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.7833067,110.4256114;19%;6%;6%;31%;25%;0%;13%;0%;19%;6%;6%;50%;6%;0%;13%;0%;19%;6%;0%;50%;13%;0%;13%;0%
22;Point;Propix;CV Yussuf & Co;Jl. Melati No.15, Nanggulan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;Gudang;Jual;7700000000;1100;1400;Sertifikat Hak Milik (SHM);Sedang;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.772220518206477, 110.43311486816943;0%;5%;0%;26%;58%;0%;11%;0%;0%;5%;0%;68%;16%;0%;11%;0%;0%;5%;0%;79%;5%;0%;11%;0%
23;Point;Propix;Rumah Adisucipto;Jl. Raya Berbah, Wotgaleh, Sendangtirto, Kec. Berbah, Kabupaten Sleman, Daerah Istimewa Yogyakarta;Rumah;Jual;850000000;110;114;Sertifikat Hak Milik (SHM);Sedang;Sedang;Sedang;Sedang;Sedang;Sedang;Sedang;Tinggi;Sedang;Tidak;-7.8045759295548365, 110.42892463775863;0%;7%;7%;0%;60%;13%;7%;7%;0%;7%;0%;0%;67%;13%;7%;7%;0%;0%;0%;0%;73%;13%;7%;7%
24;Point;Propix;Karta Virendra;Kalitirto, Berbah, Sleman, Daerah Istimewa Yogyakarta;Rumah;Jual;564000000;36;85;Sertifikat Hak Milik (SHM);Rendah;Sedang;Sedang;Sedang;Sedang;Sedang;Sedang;Tinggi;Sedang;Tidak;-7.794651709874188, 110.45528481534036;0%;17%;17%;0%;28%;0%;33%;6%;0%;17%;6%;0%;39%;0%;33%;6%;0%;17%;0%;0%;44%;0%;33%;6%
25;Point;Propix;Gudang Prambanan;Jl. Tirtomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571;Gudang;Jual;7000000000;850;1523;Sertifikat Hak Milik (SHM);Sedang;Sedang;Sedang;Sedang;Sedang;Sedang;Sedang;Sedang;Sedang;Tidak;-7.7605524,110.4884367;0%;9%;0%;0%;55%;0%;27%;9%;0%;9%;0%;9%;45%;0%;27%;9%;0%;9%;0%;9%;45%;0%;27%;9%
26;Point;Propix;Perumahan Sanggrahan Asri;B9, RT.21/RW.01, Sanggrahan, Purwomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta;Rumah;Jual;350000000;36;75;Sertifikat Hak Milik (SHM);Sedang;Sedang;Sedang;Sedang;Sedang;Tinggi;Sedang;Sedang;Tinggi;Tidak;-7.735771589511329, 110.45745248940995;0%;0%;18%;0%;53%;0%;29%;0%;0%;0%;0%;0%;71%;0%;29%;0%;0%;0%;0%;0%;71%;0%;29%;0%
27;Point;Propix;Pabrik Asbes Teraflex;Jl. Solo No.Km 12,5, Karang Kalasan, Tirtomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571;Gudang;Jual;16800000000;7181;10284;Sertifikat Hak Milik (SHM);Sedang;Sedang;Sedang;Sedang;Sedang;Tinggi;Tinggi;Sedang;Tinggi;Ya;-7.7742934013543765, 110.460224;0%;6%;0%;0%;39%;0%;56%;0%;0%;6%;0%;17%;39%;0%;39%;0%;0%;6%;0%;22%;39%;0%;33%;0%
28;Point;Propix;Toko Raya Candi Gebang;Perum Candi Gebang Blok II - 22, Jl. Jetis Raya, Jetis, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283;Ruko;Jual;3300000000;274;137;Sertifikat Hak Milik (SHM);Sedang;Sedang;Sedang;Tinggi;Sedang;Sedang;Tinggi;Sedang;Sedang;Tidak;-7.744232985537861, 110.41291448071283;0%;22%;0%;6%;56%;0%;17%;0%;0%;22%;0%;39%;28%;0%;11%;0%;0%;22%;0%;56%;11%;0%;11%;0%
29;Point;Propix;Perum Bimomartani;Jl. Cangkringan No.52, Area Sawah, Bimomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584;Rumah;Jual;450000000;45;99;Sertifikat Hak Milik (SHM);Rendah;Sedang;Sedang;Rendah;Sedang;Sedang;Sedang;Sedang;Sedang;Tidak;-7.6994604,110.4565283;0%;5%;38%;0%;0%;0%;57%;0%;0%;5%;29%;0%;10%;0%;57%;0%;0%;5%;29%;0%;10%;0%;57%;0%
30;Point;Propix;Mataram City;Jl. Palagan Tentara Pelajar No.KM. 7, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;Apartemen;Jual;650000000;34;34;Sertifikat Hak Milik (SHM);Tinggi;Sedang;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.738912303323788, 110.37728139371265;0%;0%;0%;33%;50%;6%;11%;0%;0%;0%;0%;72%;11%;6%;11%;0%;0%;0%;0%;100%;0%;0%;0%;0%
31;Point;Propix;Mataram City a;Jl. Palagan Tentara Pelajar No.KM. 7, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;Apartemen;Jual;650000000;34;28;Sertifikat Hak Milik (SHM);Tinggi;Sedang;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.738912303323788, 110.37728139371265;0%;0%;0%;33%;50%;6%;11%;0%;0%;0%;0%;72%;11%;6%;11%;0%;0%;0%;0%;100%;0%;0%;0%;0%
32;Point;Propix;Patraland Amarta;Jl. Palagan Tentara Pelajar No.KM 7, RW.5, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;Apartemen;Jual;600000000;28;28;SHMSRS;Tinggi;Sedang;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.734331428556337, 110.37842937301062;0%;0%;0%;28%;50%;6%;17%;0%;0%;0%;0%;61%;17%;6%;17%;0%;0%;0%;0%;94%;0%;0%;6%;0%
33;Point;Propix;Mataram City Yogyakarta (MICC);Jl. Palagan Tentara Pelajar No.KM. 7, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;Apartemen;Jual;750000000;37;37;Sertifikat Hak Guna Bangunan (SHGB);Tinggi;Sedang;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.7390770933438, 110.3773135865053;0%;0%;0%;33%;50%;6%;11%;0%;0%;0%;0%;72%;11%;6%;11%;0%;0%;0%;0%;100%;0%;0%;0%;0%
34;Point;Propix;Ruko Monjali;Jl. Monumen Jogja Kembali No.31, Nandan, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284;Ruko;Jual;3900000000;280;194;Sertifikat Hak Milik (SHM);Tinggi;Sedang;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.7409983,110.3497101;0%;0%;0%;79%;21%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%
35;Point;Propix;Patra Residence Palagan;Jl. Palagan Tentara Pelajar No.Km 10, Tambak Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;Rumah;Jual;4390499999;180;200;Sertifikat Hak Milik (SHM);Sedang;Sedang;Tinggi;Sedang;Tinggi;Tinggi;Sedang;Tinggi;Tinggi;Tidak;-7.7129074,110.3834002;0%;0%;0%;0%;39%;0%;61%;0%;0%;0%;0%;0%;39%;0%;61%;0%;0%;0%;0%;17%;28%;0%;56%;0%
36;Point;Propix;Sofia Residence;Ngetiran, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;Rumah;Jual;1370000000;120;94;Sertifikat Hak Milik (SHM);Sedang;Sedang;Tinggi;Sedang;Tinggi;Tinggi;Sedang;Tinggi;Tinggi;Tidak;-7.7111732,110.3814846;0%;0%;0%;0%;39%;0%;61%;0%;0%;0%;0%;0%;39%;0%;61%;0%;0%;0%;0%;17%;28%;0%;56%;0%
37;Point;Propix;Ruko Indomaret;Jl. Kaliurang No.15, Gondangan, Sardonoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;Ruko;Jual;3899999998;250;369;Sertifikat Hak Milik (SHM);Sedang;Sedang;Tinggi;Sedang;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.7216556,110.4027344;0%;5%;0%;0%;55%;0%;40%;0%;0%;5%;0%;15%;50%;0%;30%;0%;0%;5%;0%;35%;35%;0%;25%;0%
38;Point;Propix;Ruko Jakal;Jl. Kaliurang Prujakan KM 8, Tambakan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283;Ruko;Jual;3100000000;150;196;Sertifikat Hak Milik (SHM);Sedang;Sedang;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.7370032,110.3910959;0%;0%;0%;0%;82%;0%;18%;0%;0%;0%;0%;71%;12%;0%;18%;0%;0%;0%;0%;88%;0%;0%;12%;0%
39;Point;Propix;Pastika Palagan Residence 3 Blok A1;Jl. Palagan Tentara Pelajar Jl. Sadewa, Tegal Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;Rumah;Jual;1500000000;110;125;Sertifikat Hak Milik (SHM);Sedang;Sedang;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.728911163300157, 110.37842829942511;0%;0%;0%;6%;53%;0%;41%;0%;0%;0%;0%;18%;41%;0%;41%;0%;0%;0%;0%;65%;12%;0%;24%;0%
40;Point;Propix;Rumah Griya Ayem;Losari, Sukoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta;Rumah;Jual;1288000000;95;147;Sertifikat Hak Milik (SHM);Sedang;Sedang;Tinggi;Sedang;Tinggi;Tinggi;Sedang;Tinggi;Tinggi;Tidak;-7.694735811750389, 110.4294158423298;0%;5%;15%;5%;35%;0%;30%;10%;0%;5%;10%;5%;40%;0%;30%;10%;0%;5%;5%;10%;40%;0%;30%;10%
41;Point;Propix;Green Hills Residence;Green Hills Residence, Drono, Sardonoharjo, Kec. Ngaglik, Yogyakarta, Daerah Istimewa Yogyakarta 55581;Rumah;Jual;2600000000;176;185;Sertifikat Hak Milik (SHM);Sedang;Sedang;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.722107767169167, 110.39133198547654;0%;0%;0%;0%;63%;0%;38%;0%;0%;0%;0%;25%;38%;0%;38%;0%;0%;0%;0%;56%;6%;0%;38%;0%
42;Point;Propix;Pastika Palagan Residence;Jl. Sadewa Palagan Tentara Pelajar KM 7,8, Tegal Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;Rumah;Jual;1200000000;110;125;Sertifikat Hak Milik (SHM);Sedang;Sedang;Tinggi;Sedang;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.728911163300157, 110.37842829942511;0%;0%;0%;13%;56%;0%;31%;0%;0%;0%;0%;38%;31%;0%;31%;0%;0%;0%;0%;75%;6%;0%;19%;0%
43;Point;Propix;Abiyya Town House;Abiyya Town House, Jl. Kaliurang Jl. Bias, Gadingan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;Rumah;Jual;190000000;25;25;Sertifikat Hak Milik (SHM);Sedang;Sedang;Tinggi;Sedang;Tinggi;Tinggi;Sedang;Tinggi;Tinggi;Tidak;-7.712783121590344, 110.40560544417549;0%;0%;0%;0%;44%;0%;56%;0%;0%;0%;0%;0%;50%;0%;50%;0%;0%;0%;0%;11%;44%;0%;44%;0%
44;Point;Propix;Rumah Jl Palagan;Jl. Randugowang Utama, Tegal Weru, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;Rumah;Jual;888000000;68;92;Sertifikat Hak Milik (SHM);Sedang;Sedang;Tinggi;Sedang;Tinggi;Tinggi;Sedang;Tinggi;Tinggi;Tidak;-7.723569843222608, 110.37630154232981;0%;0%;0%;0%;50%;0%;50%;0%;0%;0%;0%;6%;44%;0%;50%;0%;0%;0%;0%;50%;22%;0%;28%;0%
45;Point;Propix;Rumah Ngaglik;Besi, Sukoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta;Rumah;Jual;535000000;36;80;Sertifikat Hak Milik (SHM);Sedang;Sedang;Tinggi;Sedang;Tinggi;Tinggi;Sedang;Tinggi;Tinggi;Tidak;-7.703920765506316, 110.4165277498556;0%;0%;5%;0%;53%;0%;42%;0%;0%;0%;0%;0%;58%;0%;42%;0%;0%;0%;0%;11%;47%;0%;42%;0%
46;Point;Propix;Ruko/Kantor Jamal;Jl. Magelang - Yogyakarta Jl. Murangan VII No.KM.13,5, Panggeran 7, Triharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55514;Ruko;Jual;3297000000;498;328;Sertifikat Hak Milik (SHM);Sedang;Sedang;Tinggi;Sedang;Sedang;Tinggi;Sedang;Sedang;Tinggi;Tidak;-7.7536291,110.3703001;0%;6%;24%;0%;47%;0%;24%;0%;0%;6%;24%;0%;47%;0%;24%;0%;0%;6%;12%;0%;65%;0%;18%;0%
47;Point;Propix;Ruko Jamal Pemda;Jl. KRT Pringgodiningrat, Drono, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511;Ruko;Jual;2500000000;175;342;Sertifikat Hak Milik (SHM);Sedang;Sedang;Tinggi;Sedang;Sedang;Tinggi;Sedang;Sedang;Tinggi;Tidak;-7.6925767,110.3441345;0%;6%;17%;0%;39%;0%;39%;0%;0%;0%;6%;0%;56%;0%;39%;0%;0%;0%;0%;0%;67%;0%;33%;0%
